エンジニア - engineer enjinia

チーター - cheetah chītā
オオカミ 狼 wolf ōkami
キリン 麒麟 giraffe kirin
イカ 烏賊 squid ika
タコ 蛸 octopus tako
タコ 章魚 octopus tako
ガ 蛾 moth ga
トンボ 蜻蛉 dragonfly tonbo
バッタ 飛蝗 grasshopper batta
クモ 蜘蛛 spider kumo
ホタル 蛍 firefly hotaru
ハエ 蝿 housefly hae
ハエ 蠅 housefly hae
カ 蚊 "mosquito, gnat" ka
ゴキブリ 蜚蠊 cockroach gokiburi
カタツムリ 蝸牛 snail katatsumuri
ナメクジ 蛞蝓 slug namekuji
ミミズ 蚯蚓 earthworm mimizu
トカゲ 蜥蜴 lizard tokage

リンゴ 林檎 apple ringo
ミカン 蜜柑 "mandarin orange" mikan
バナナ 甘蕉 banana banana
ナシ 梨 pear nashi
クリ 栗 "chestnut tree" kuri
モモ 桃 peach momo
トマト 蕃茄 tomato tomato
スイカ 西瓜 watermelon suika

サラダ - salad sarada
デザート - dessert dezāto
パン - bread pan
サンドイッチ - sandwich sandoitchi
アイスクリーム - "ice cream" aisukurīmu

コーヒー 珈琲 coffee kōhī
ビール - beer bīru
ワイン - wine wain

カレンダー 暦 calendar karendā

メートル – meter mētoru
リットル – litre rittoru
グラム – gram guramu
キロ – kilo- kiro
ミリ – milli- miri
センチメートル – centimeter senchimētoru
センチ – centimeter senchi
インチ – inch inchi

ホテル – hotel hoteru

ドア – door doa
エレベーター – elevator erebētā
エスカレーター – escalator esukarētā

インク – ink inku
ペン – pen pen
ボールペン – "ball-point pen" bōrupen
チョーク – chalk chōku
カバー – "book cover" kabā
ノート – notebook nōto
ホッチキス – stapler hotchikisu
けしゴム 消しゴム eraser keshigomu

ボタン – button botan
チャック – "zipper, zipper fastener" chakku
ファスナー – "zipper, zipper fastener" fasunā
ジッパー – "zipper, zipper fastener" jippā
ベルト – belt beruto
ガス - gas gasu

バスてい バス停 bus-stop basutei

カタカナ 片仮名 "katakana syllabary characters" katakana
アルファベット – alphabet arufabetto
ローマ字 – "Roman characters, Latin script" rōmaji

パソコン – "personal computer" pasokon

ピンク - pink pinku
オレンジ – orange orenji

スポーツ – sport supōtsu
システム – system shisutemu

ゼロ、零 – zero zero
